User_ID,Role,Experience,Time_Spent_Manual,Hardest_Note_Type,Rounding_Issue_Freq
U01,Accountant,0-2 years,4+ hours,Fixed Assets,Frequently
U02,Accountant,3-5 years,2 - 4 hours,Accruals and Prepayments,Sometimes
U03,Accountant,0-2 years,4+ hours,Directors' Remuneration / DLA,Frequently
U04,Client Account Manager,6-10 years,2 - 4 hours,Related Party Transactions,Sometimes
U05,Client Account Manager,3-5 years,2 - 4 hours,Debtors and Creditors,Sometimes
U06,Client Account Manager,6-10 years,1 - 2 hours,Accruals and Prepayments,Rarely
U07,Audit Supervisor,6-10 years,1 - 2 hours,Fixed Assets,Rarely
U08,Partner,10+ years,Less than 1 hour,Directors' Remuneration / DLA,Never
U09,Partner,10+ years,Less than 1 hour,Related Party Transactions,Never
U10,Partner,10+ years,1 - 2 hours,Debtors and Creditors,Rarely
